+ .venv/bin/python -m twomove.sweep --stage s2b --materials k_pawns8 --regimes ET --games 512 --nodes 12000 --out experiments/results/ocean --workers 20
1 points, 512 games max
  s2b-k_pawns8-ET: mat=k_pawns8|reg=ET|nc2=0|dp2=0|k=1|dbl=W|first=W|n=12000|e=search x512
== s2b-k_pawns8-ET -> experiments/results/ocean/s2b-k_pawns8-ET.jsonl
  [s2b-k_pawns8-ET] 1/512 games (284/h, eta 108m)
  [s2b-k_pawns8-ET] 2/512 games (481/h, eta 64m)
  [s2b-k_pawns8-ET] 3/512 games (545/h, eta 56m)
  [s2b-k_pawns8-ET] 4/512 games (712/h, eta 43m)
  [s2b-k_pawns8-ET] 5/512 games (880/h, eta 35m)
  [s2b-k_pawns8-ET] 6/512 games (1034/h, eta 29m)
  [s2b-k_pawns8-ET] 7/512 games (1162/h, eta 26m)
  [s2b-k_pawns8-ET] 8/512 games (1169/h, eta 26m)
  [s2b-k_pawns8-ET] 9/512 games (1298/h, eta 23m)
  [s2b-k_pawns8-ET] 10/512 games (1424/h, eta 21m)
  [s2b-k_pawns8-ET] 11/512 games (1436/h, eta 21m)
  [s2b-k_pawns8-ET] 12/512 games (1559/h, eta 19m)
  [s2b-k_pawns8-ET] 13/512 games (1676/h, eta 18m)
  [s2b-k_pawns8-ET] 14/512 games (1789/h, eta 17m)
  [s2b-k_pawns8-ET] 15/512 games (1640/h, eta 18m)
  [s2b-k_pawns8-ET] 16/512 games (1661/h, eta 18m)
  [s2b-k_pawns8-ET] 17/512 games (1722/h, eta 17m)
  [s2b-k_pawns8-ET] 18/512 games (1728/h, eta 17m)
  [s2b-k_pawns8-ET] 19/512 games (1774/h, eta 17m)
  [s2b-k_pawns8-ET] 20/512 games (1826/h, eta 16m)
  [s2b-k_pawns8-ET] 21/512 games (1832/h, eta 16m)
  [s2b-k_pawns8-ET] 22/512 games (1733/h, eta 17m)
  [s2b-k_pawns8-ET] 23/512 games (1747/h, eta 17m)
  [s2b-k_pawns8-ET] 24/512 games (1814/h, eta 16m)
  [s2b-k_pawns8-ET] 25/512 games (1888/h, eta 15m)
  [s2b-k_pawns8-ET] 26/512 games (1913/h, eta 15m)
  [s2b-k_pawns8-ET] 27/512 games (1962/h, eta 15m)
  [s2b-k_pawns8-ET] 28/512 games (2023/h, eta 14m)
  [s2b-k_pawns8-ET] 29/512 games (2089/h, eta 14m)
  [s2b-k_pawns8-ET] 30/512 games (2044/h, eta 14m)
  [s2b-k_pawns8-ET] 31/512 games (2108/h, eta 14m)
  [s2b-k_pawns8-ET] 32/512 games (2104/h, eta 14m)
  [s2b-k_pawns8-ET] 33/512 games (2144/h, eta 13m)
  [s2b-k_pawns8-ET] 34/512 games (2070/h, eta 14m)
  [s2b-k_pawns8-ET] 35/512 games (2045/h, eta 14m)
  [s2b-k_pawns8-ET] 36/512 games (2100/h, eta 14m)
  [s2b-k_pawns8-ET] 37/512 games (2112/h, eta 13m)
  [s2b-k_pawns8-ET] 38/512 games (2132/h, eta 13m)
  [s2b-k_pawns8-ET] 39/512 games (2141/h, eta 13m)
  [s2b-k_pawns8-ET] 40/512 games (2191/h, eta 13m)
  [s2b-k_pawns8-ET] 41/512 games (2223/h, eta 13m)
  [s2b-k_pawns8-ET] 42/512 games (2261/h, eta 12m)
  [s2b-k_pawns8-ET] 43/512 games (2213/h, eta 13m)
  [s2b-k_pawns8-ET] 44/512 games (2248/h, eta 12m)
  [s2b-k_pawns8-ET] 45/512 games (2261/h, eta 12m)
  [s2b-k_pawns8-ET] 46/512 games (2202/h, eta 13m)
  [s2b-k_pawns8-ET] 47/512 games (2229/h, eta 13m)
  [s2b-k_pawns8-ET] 48/512 games (2210/h, eta 13m)
  [s2b-k_pawns8-ET] 49/512 games (2153/h, eta 13m)
  [s2b-k_pawns8-ET] 50/512 games (2162/h, eta 13m)
  [s2b-k_pawns8-ET] 51/512 games (2202/h, eta 13m)
  [s2b-k_pawns8-ET] 52/512 games (2225/h, eta 12m)
  [s2b-k_pawns8-ET] 53/512 games (2267/h, eta 12m)
  [s2b-k_pawns8-ET] 54/512 games (2258/h, eta 12m)
  [s2b-k_pawns8-ET] 55/512 games (2252/h, eta 12m)
  [s2b-k_pawns8-ET] 56/512 games (2274/h, eta 12m)
  [s2b-k_pawns8-ET] 57/512 games (2175/h, eta 13m)
  [s2b-k_pawns8-ET] 58/512 games (2204/h, eta 12m)
  [s2b-k_pawns8-ET] 59/512 games (2214/h, eta 12m)
  [s2b-k_pawns8-ET] 60/512 games (2231/h, eta 12m)
  [s2b-k_pawns8-ET] 61/512 games (2156/h, eta 13m)
  [s2b-k_pawns8-ET] 62/512 games (2175/h, eta 12m)
  [s2b-k_pawns8-ET] 63/512 games (2108/h, eta 13m)
  [s2b-k_pawns8-ET] 64/512 games (2134/h, eta 13m)
  [s2b-k_pawns8-ET] 65/512 games (2135/h, eta 13m)
  [s2b-k_pawns8-ET] 66/512 games (2145/h, eta 12m)
  [s2b-k_pawns8-ET] 67/512 games (2137/h, eta 12m)
  [s2b-k_pawns8-ET] 68/512 games (2160/h, eta 12m)
  [s2b-k_pawns8-ET] 69/512 games (2178/h, eta 12m)
  [s2b-k_pawns8-ET] 70/512 games (2185/h, eta 12m)
  [s2b-k_pawns8-ET] 71/512 games (2207/h, eta 12m)
  [s2b-k_pawns8-ET] 72/512 games (2213/h, eta 12m)
  [s2b-k_pawns8-ET] 73/512 games (2226/h, eta 12m)
  [s2b-k_pawns8-ET] 74/512 games (2220/h, eta 12m)
  [s2b-k_pawns8-ET] 75/512 games (2177/h, eta 12m)
  [s2b-k_pawns8-ET] 76/512 games (2180/h, eta 12m)
  [s2b-k_pawns8-ET] 77/512 games (2189/h, eta 12m)
  [s2b-k_pawns8-ET] 78/512 games (2186/h, eta 12m)
  [s2b-k_pawns8-ET] 79/512 games (2166/h, eta 12m)
  [s2b-k_pawns8-ET] 80/512 games (2188/h, eta 12m)
