label,point_id,n,wins,draws,losses,score,ci_lo,ci_hi,elo,draw_rate,median_rounds,balanced
s2-k_pawns8-ET,mat=k_pawns8|reg=ET|nc2=0|dp2=0|k=1|dbl=W|first=W|n=3000|e=search,32,16,2,14,0.5312,0.3645,0.6913,21.7,0.062,25,False
s2-k_n_pawns-ET,mat=k_n_pawns|reg=ET|nc2=0|dp2=0|k=1|dbl=W|first=W|n=3000|e=search,32,18,0,14,0.5625,0.3933,0.7183,43.7,0.0,29,False
s2-bishops_pawns-ET,mat=bishops_pawns|reg=ET|nc2=0|dp2=0|k=1|dbl=W|first=W|n=3000|e=search,32,23,4,5,0.7812,0.6124,0.8898,221.1,0.125,26,False
s2-k_pawns6-ET,mat=k_pawns6|reg=ET|nc2=0|dp2=0|k=1|dbl=W|first=W|n=3000|e=search,32,4,2,26,0.1562,0.0686,0.3175,-293.0,0.062,22,False
s2-monster4-ET,mat=monster4|reg=ET|nc2=0|dp2=0|k=1|dbl=W|first=W|n=3000|e=search,32,4,1,27,0.1406,0.059,0.2993,-314.4,0.031,20,False
s2-k_pawns3-KC,mat=k_pawns3|reg=KC|nc2=0|dp2=0|k=1|dbl=W|first=W|n=3000|e=search,32,28,1,3,0.8906,0.7383,0.9592,364.3,0.031,16,False
s2-monster4-KC,mat=monster4|reg=KC|nc2=0|dp2=0|k=1|dbl=W|first=W|n=3000|e=search,32,29,0,3,0.9062,0.7578,0.9676,394.1,0.0,14,False
s2-k_pawns6-KC,mat=k_pawns6|reg=KC|nc2=0|dp2=0|k=1|dbl=W|first=W|n=3000|e=search,32,30,2,0,0.9688,0.8426,0.9945,596.5,0.062,15,False
s2-knights_pawns-ET,mat=knights_pawns|reg=ET|nc2=0|dp2=0|k=1|dbl=W|first=W|n=3000|e=search,32,31,0,1,0.9688,0.8426,0.9945,596.5,0.0,25,False
s2-k_pawns3-ET,mat=k_pawns3|reg=ET|nc2=0|dp2=0|k=1|dbl=W|first=W|n=3000|e=search,32,0,1,31,0.0156,0.0016,0.1334,-719.7,0.031,22,False
s2-k_pawns8-KC,mat=k_pawns8|reg=KC|nc2=0|dp2=0|k=1|dbl=W|first=W|n=3000|e=search,32,31,1,0,0.9844,0.8666,0.9984,719.7,0.031,13,False
s2-bishops_pawns-KC,mat=bishops_pawns|reg=KC|nc2=0|dp2=0|k=1|dbl=W|first=W|n=3000|e=search,32,32,0,0,1.0,0.8928,1.0,2400.0,0.0,5,False
s1-full-ET,mat=full|reg=ET|nc2=0|dp2=0|k=1|dbl=W|first=W|n=3000|e=search,24,24,0,0,1.0,0.862,1.0,2400.0,0.0,9,False
s1-full-IL,mat=full|reg=IL|nc2=0|dp2=0|k=1|dbl=W|first=W|n=3000|e=search,24,24,0,0,1.0,0.862,1.0,2400.0,0.0,6,False
s1-full-KC,mat=full|reg=KC|nc2=0|dp2=0|k=1|dbl=W|first=W|n=3000|e=search,24,24,0,0,1.0,0.862,1.0,2400.0,0.0,2,False
s2-k_n_pawns-KC,mat=k_n_pawns|reg=KC|nc2=0|dp2=0|k=1|dbl=W|first=W|n=3000|e=search,32,32,0,0,1.0,0.8928,1.0,2400.0,0.0,2,False
s2-knights_pawns-KC,mat=knights_pawns|reg=KC|nc2=0|dp2=0|k=1|dbl=W|first=W|n=3000|e=search,32,32,0,0,1.0,0.8928,1.0,2400.0,0.0,3,False
s2-no_q_rr-ET,mat=no_q_rr|reg=ET|nc2=0|dp2=0|k=1|dbl=W|first=W|n=3000|e=search,32,32,0,0,1.0,0.8928,1.0,2400.0,0.0,21,False
s2-no_q_rr-KC,mat=no_q_rr|reg=KC|nc2=0|dp2=0|k=1|dbl=W|first=W|n=3000|e=search,32,32,0,0,1.0,0.8928,1.0,2400.0,0.0,3,False
s2-no_q_r-ET,mat=no_q_r|reg=ET|nc2=0|dp2=0|k=1|dbl=W|first=W|n=3000|e=search,32,32,0,0,1.0,0.8928,1.0,2400.0,0.0,17,False
s2-no_q_r-KC,mat=no_q_r|reg=KC|nc2=0|dp2=0|k=1|dbl=W|first=W|n=3000|e=search,32,32,0,0,1.0,0.8928,1.0,2400.0,0.0,3,False
s2-no_q-ET,mat=no_q|reg=ET|nc2=0|dp2=0|k=1|dbl=W|first=W|n=3000|e=search,32,32,0,0,1.0,0.8928,1.0,2400.0,0.0,17,False
s2-no_q-KC,mat=no_q|reg=KC|nc2=0|dp2=0|k=1|dbl=W|first=W|n=3000|e=search,32,32,0,0,1.0,0.8928,1.0,2400.0,0.0,4,False
